"obs","n.dims","clas.assigned","clas.true"
1,2,TRUE,TRUE
2,2,TRUE,TRUE
3,2,FALSE,TRUE
4,2,TRUE,TRUE
5,2,FALSE,TRUE
6,2,TRUE,TRUE
7,2,TRUE,TRUE
8,2,FALSE,TRUE
9,2,TRUE,TRUE
10,2,TRUE,TRUE
11,2,TRUE,TRUE
12,2,FALSE,TRUE
13,2,FALSE,TRUE
14,2,TRUE,TRUE
15,2,TRUE,TRUE
16,2,TRUE,TRUE
17,2,FALSE,FALSE
18,2,TRUE,FALSE
19,2,FALSE,FALSE
20,2,TRUE,FALSE
21,2,FALSE,FALSE
22,2,TRUE,FALSE
23,2,TRUE,FALSE
24,2,TRUE,FALSE
25,2,FALSE,FALSE
26,2,FALSE,FALSE
27,2,FALSE,FALSE
28,2,TRUE,FALSE
29,2,FALSE,FALSE
30,2,TRUE,FALSE
31,2,FALSE,FALSE
32,2,FALSE,FALSE
33,2,TRUE,FALSE
34,2,TRUE,FALSE
35,2,FALSE,FALSE
36,2,TRUE,FALSE
37,2,FALSE,FALSE
38,2,FALSE,FALSE
39,2,FALSE,FALSE
40,2,TRUE,FALSE
41,2,TRUE,FALSE
42,2,FALSE,FALSE
43,2,FALSE,FALSE
1,3,TRUE,TRUE
2,3,TRUE,TRUE
3,3,TRUE,TRUE
4,3,TRUE,TRUE
5,3,FALSE,TRUE
6,3,TRUE,TRUE
7,3,TRUE,TRUE
8,3,FALSE,TRUE
9,3,TRUE,TRUE
10,3,TRUE,TRUE
11,3,TRUE,TRUE
12,3,TRUE,TRUE
13,3,FALSE,TRUE
14,3,FALSE,TRUE
15,3,TRUE,TRUE
16,3,FALSE,TRUE
17,3,FALSE,FALSE
18,3,TRUE,FALSE
19,3,FALSE,FALSE
20,3,FALSE,FALSE
21,3,FALSE,FALSE
22,3,TRUE,FALSE
23,3,FALSE,FALSE
24,3,TRUE,FALSE
25,3,FALSE,FALSE
26,3,FALSE,FALSE
27,3,FALSE,FALSE
28,3,FALSE,FALSE
29,3,FALSE,FALSE
30,3,TRUE,FALSE
31,3,FALSE,FALSE
32,3,FALSE,FALSE
33,3,TRUE,FALSE
34,3,TRUE,FALSE
35,3,FALSE,FALSE
36,3,TRUE,FALSE
37,3,FALSE,FALSE
38,3,FALSE,FALSE
39,3,FALSE,FALSE
40,3,FALSE,FALSE
41,3,TRUE,FALSE
42,3,FALSE,FALSE
43,3,FALSE,FALSE
1,4,TRUE,TRUE
2,4,TRUE,TRUE
3,4,TRUE,TRUE
4,4,TRUE,TRUE
5,4,FALSE,TRUE
